,Entity,Code,Year,"Crops - Cereals, Total - 1717 - Yield - 5419 - hg/ha",Fertilizers indicators - Nutrient nitrogen N (total) - 3102 - Use per area of cropland - 5159 - kg/ha,Continent
55,Afghanistan,AFG,2015,2.1337,2.66,Asia
172,Albania,ALB,2015,4.8738,52.87,Europe
230,Algeria,DZA,2015,1.4002,8.79,Africa
348,Angola,AGO,2015,0.9825,4.91,Africa
403,Antigua and Barbuda,ATG,2015,1.5811000000000002,1.7,North America
461,Argentina,ARG,2015,4.7793,15.01,South America
488,Armenia,ARM,2015,3.1321000000000003,125.48,Asia
632,Australia,AUS,2015,2.0274,37.31,Oceania
748,Austria,AUT,2015,6.1981,85.31,Europe
776,Azerbaijan,AZE,2015,3.0836,1.96,Asia
835,Bahamas,BHS,2015,8.352500000000001,55.25,North America
894,Bangladesh,BGD,2015,4.5604000000000005,154.28,Asia
952,Barbados,BRB,2015,2.7552000000000003,45.76,North America
980,Belarus,BLR,2015,3.6902,76.64,Europe
999,Belgium,BEL,2015,9.8422,207.98,Europe
1096,Belize,BLZ,2015,2.8978,146.79,North America
1154,Benin,BEN,2015,1.3367,0.05,Africa
1217,Bhutan,BTN,2015,3.4765,8.17,Asia
1275,Bolivia,BOL,2015,2.2802,4.96,South America
1303,Bosnia and Herzegovina,BIH,2015,3.8121,99.5,Europe
1361,Botswana,BWA,2015,0.9405,80.87,Africa
1420,Brazil,BRA,2015,5.0004,55.74,South America
1480,Brunei,BRN,2015,2.146,22.09,Asia
1538,Bulgaria,BGR,2015,4.6696,90.46,Europe
1596,Burkina Faso,BFA,2015,1.1689,8.38,Africa
1654,Burundi,BDI,2015,1.203,2.98,Africa
1712,Cambodia,KHM,2015,3.3878000000000004,19.93,Asia
1770,Cameroon,CMR,2015,1.625,5.49,Africa
1828,Canada,CAN,2015,3.6802,67.11,North America
2003,Central African Republic,CAF,2015,0.8841,0.12,Africa
2178,Chile,CHL,2015,7.0823,185.85,South America
2236,China,CHN,2015,5.8963,228.65,Asia
2296,Colombia,COL,2015,4.2904,160.03,South America
2412,Congo,COG,2015,0.8202,0.49,Africa
2486,Costa Rica,CRI,2015,3.8316,153.35,North America
2544,Cote d'Ivoire,CIV,2015,2.2351,5.32,Africa
2571,Croatia,HRV,2015,5.695,95.11,Europe
2629,Cuba,CUB,2015,2.9646000000000003,24.5,North America
2688,Cyprus,CYP,2015,2.6830000000000003,63.23,Europe
2714,Czechia,CZE,2015,5.8806,156.6,Europe
2805,Democratic Republic of Congo,COD,2015,0.7687,1.29,Africa
2863,Denmark,DNK,2015,6.8847000000000005,94.6,Europe
2959,Dominica,DMA,2015,1.5806,13.72,North America
3017,Dominican Republic,DOM,2015,3.1015,43.28,North America
3250,Ecuador,ECU,2015,4.321400000000001,57.84,South America
3308,Egypt,EGY,2015,7.1172,361.43,Africa
3366,El Salvador,SLV,2015,2.2881,63.12,North America
3393,Eritrea,ERI,2015,0.642,2.32,Africa
3421,Estonia,EST,2015,4.381600000000001,53.5,Europe
3505,Ethiopia,ETH,2015,2.5561000000000003,8.15,Africa
3771,Fiji,FJI,2015,3.0011,23.33,Oceania
3829,Finland,FIN,2015,3.6139,63.89,Europe
3887,France,FRA,2015,7.57,115.07,Europe
4020,Gabon,GAB,2015,1.5954000000000002,7.84,Africa
4078,Gambia,GMB,2015,0.8389000000000001,0.32,Africa
4105,Georgia,GEO,2015,1.9593,104.46,Asia
4163,Germany,DEU,2015,7.497800000000001,141.95,Europe
4221,Ghana,GHA,2015,1.8303,5.77,Africa
4280,Greece,GRC,2015,4.2149,50.11,Europe
4473,Guatemala,GTM,2015,2.1157,88.82,North America
4532,Guinea,GIN,2015,1.1216000000000002,0.63,Africa
4648,Guyana,GUY,2015,3.5674,37.44,South America
4768,Honduras,HND,2015,1.8201,46.81,North America
4877,Hungary,HUN,2015,5.2434,79.6,Europe
4882,Iceland,ISL,2015,3.2177,94.0,Europe
4952,India,IND,2015,2.8567,102.51,Asia
5010,Indonesia,IDN,2015,5.3066,60.88,Asia
5068,Iran,IRN,2015,2.2308,34.23,Asia
5126,Iraq,IRQ,2015,2.6935,11.93,Asia
5243,Israel,ISR,2015,4.5269,114.5,Asia
5301,Italy,ITA,2015,5.402200000000001,66.89,Europe
5359,Jamaica,JAM,2015,1.1431,12.41,North America
5417,Japan,JPN,2015,6.091200000000001,79.87,Asia
